"<h2>emphatically</h2><a href=""https://www.vocabulary.com/dictionary/emphatically"">vocabulary</a>"^without question and beyond doubt <br><br> <div class="example">You will therefore permit me to repeat,  <strong>emphatically</strong>, that Marley was as dead as a door-nail.</div>  
"<h2>deference</h2><a href=""https://www.membean.com/mywords/deference"">membean</a> <a href=""https://www.vocabulary.com/dictionary/deference"">vocabulary</a>"^courteous regard for people's feelings <br><br> <div class="example">'You must have been very slow about it, Jacob,' Scrooge observed, in a business-like manner, though with humility and  <strong>deference</strong>.</div>  
"<h2>indict</h2><a href=""https://www.vocabulary.com/dictionary/indict"">vocabulary</a>"^accuse formally of a crime <br><br> <div class="example">The Ghost, on hearing this, set up another cry, and clanked its chain so hideously in the dead silence of the night, that the Ward would have been justified in  <strong>indicting</strong> it for a nuisance.</div>  
"<h2>susceptible</h2><a href=""https://www.membean.com/mywords/susceptible"">membean</a> <a href=""https://www.vocabulary.com/dictionary/susceptible"">vocabulary</a>"^yielding readily to or capable of <br><br> <div class="example">'Oh! captive, bound, and double-ironed,' cried the phantom, 'not to know, that ages of incessant labor by immortal creatures, for this earth must pass into eternity before the good of which it is  <strong>susceptible</strong> is all developed!</div>  
"<h2>forbearance</h2><a href=""https://www.vocabulary.com/dictionary/forbearance"">vocabulary</a>"^good-natured tolerance of delay or incompetence <br><br> <div class="example">The common welfare was my business; charity, mercy,  <strong>forbearance</strong>, and benevolence, were, all, my business.</div>  
"<h2>incoherent</h2><a href=""https://www.membean.com/mywords/incoherent"">membean</a> <a href=""https://www.vocabulary.com/dictionary/incoherent"">vocabulary</a>"^without logical or meaningful connection <br><br> <div class="example">Not so much in obedience, as in surprise and fear: for on the raising of the hand, he became sensible of confused noises in the air;  <strong>incoherent</strong> sounds of lamentation and regret; wailings inexpressibly sorrowful and self-accusatory.</div>  
"<h2>repose</h2><a href=""https://www.membean.com/mywords/repose"">membean</a> <a href=""https://www.vocabulary.com/dictionary/repose"">vocabulary</a>"^freedom from activity <br><br> <div class="example">And being, from the emotion he had undergone, or the fatigues of the day, or his glimpse of the Invisible World, or the dull conversation of the Ghost, or the lateness of the hour, much in need of  <strong>repose</strong>; went straight to bed, without undressing, and fell asleep upon the instant.</div>  
"<h2>resolution</h2><a href=""https://www.vocabulary.com/dictionary/resolution"">vocabulary</a>"^a decision to do something or to behave in a certain manner <br><br> <div class="example">He resolved to lie awake until the hour was passed; and, considering that he could no more go to sleep than go to Heaven, this was, perhaps, the wisest  <strong>resolution</strong> in his power.</div>  
"<h2>recumbent</h2><a href=""https://www.membean.com/mywords/recumbent"">membean</a> <a href=""https://www.vocabulary.com/dictionary/recumbent"">vocabulary</a>"^lying down; in a position of comfort or rest <br><br> <div class="example">The curtains of his bed were drawn aside; and Scrooge, starting up into a half-recumbent attitude, found himself face to face with the unearthly visitor who drew them: as close to it as I am now to you, and I am standing in the spirit at your elbow.</div>  
"<h2>fluctuate</h2><a href=""https://www.membean.com/mywords/fluctuate"">membean</a> <a href=""https://www.vocabulary.com/dictionary/fluctuate"">vocabulary</a>"^be unstable <br><br> <div class="example">For as its belt sparkled and glittered now in one part and now in another, and what was light one instant, at another time was dark, so the figure itself  <strong>fluctuated</strong> in its distinctness: being now a thing with one arm, now with one leg, now with twenty legs, now a pair of legs without a head, now a head without a body</div>  
"<h2>intention</h2><a href=""https://www.vocabulary.com/dictionary/intention"">vocabulary</a>"^an anticipated outcome that guides your planned actions <br><br> <div class="example">Scrooge reverently disclaimed all  <strong>intention</strong> to offend or any knowledge of having wilfully bonneted the Spirit at any period of his life.</div>  
"<h2>conducive</h2><a href=""https://www.membean.com/mywords/conducive"">membean</a> <a href=""https://www.vocabulary.com/dictionary/conducive"">vocabulary</a>"^tending to bring about; being partly responsible for <br><br> <div class="example">Scrooge expressed himself much obliged, but could not help thinking that a night of unbroken rest would have been more  <strong>conducive</strong> to that end.</div>  
"<h2>surmount</h2><a href=""https://www.membean.com/mywords/surmount"">membean</a> <a href=""https://www.vocabulary.com/dictionary/surmount"">vocabulary</a>"^be on top of <br><br> <div class="example">They left the high-road, by a well-remembered lane, and soon approached a mansion of dull red brick, with a little weathercock-surmounted cupola, on the roof, and a bell hanging in it.</div>  
"<h2>retentive</h2><a href=""https://www.vocabulary.com/dictionary/retentive"">vocabulary</a>"^having the capacity to hold something <br><br> <div class="example">Nor was it more  <strong>retentive</strong> of its ancient state, within; for entering the dreary hall, and glancing through the open doors of many rooms, they found them poorly furnished, cold, and vast.</div>  
"<h2>despondent</h2><a href=""https://www.membean.com/mywords/despondent"">membean</a> <a href=""https://www.vocabulary.com/dictionary/despondent"">vocabulary</a>"^without or almost without hope <br><br> <div class="example">Not a latent echo in the house, not a squeak and scuffle from the mice behind the paneling, not a drip from the half-thawed water-spout in the dull yard behind, not a sigh among the leafless boughs of one  <strong>despondent</strong> poplar, not the idle swinging of an empty store-house door, no, not a clicking in the fire, but fell upon the heart of Scrooge with a softening influence, and gave a freer passage to his tears.</div>  
"<h2>laden</h2><a href=""https://www.vocabulary.com/dictionary/laden"">vocabulary</a>"^filled with a great quantity <br><br> <div class="example">Suddenly a man, in foreign garments: wonderfully real and distinct to look at: stood outside the window, with an axe stuck in his belt, and leading by the bridle an ass  <strong>laden</strong> with wood.</div>  
"<h2>expend</h2><a href=""https://www.vocabulary.com/dictionary/expend"">vocabulary</a>"^use up or consume fully <br><br> <div class="example">To hear Scrooge  <strong>expending</strong> all the earnestness of his nature on such subjects, in a most extraordinary voice between laughing and crying; and to see his heightened and excited face; would have been a surprise to his business friends in the city, indeed.</div>  
"<h2>condescension</h2><a href=""https://www.vocabulary.com/dictionary/condescension"">vocabulary</a>"^showing arrogance by patronizing those considered inferior <br><br> <div class="example">'Bring down Master Scrooge's box, there!' and in the hall appeared the schoolmaster himself, who glared on Master Scrooge with a ferocious  <strong>condescension</strong>, and threw him into a dreadful state of mind by shaking hands with him.</div>  
"<h2>terrestrial</h2><a href=""https://www.membean.com/mywords/terrestrial"">membean</a> <a href=""https://www.vocabulary.com/dictionary/terrestrial"">vocabulary</a>"^of or relating to or characteristic of the planet Earth <br><br> <div class="example">He then conveyed him and his sister into the veriest old well of a shivering best-parlor that ever was seen, where the maps upon the wall, and the celestial and  <strong>terrestrial</strong> globes in the windows, were waxy with cold.</div>  
"<h2>tumult</h2><a href=""https://www.vocabulary.com/dictionary/tumult"">vocabulary</a>"^a state of commotion and noise and confusion <br><br> <div class="example">Although they had but that moment left the school behind them, they were now in the busy thoroughfares of a city, where shadowy passengers passed and repassed; where shadowy carts and coaches battle for the way, and all the strife and  <strong>tumult</strong> of a real city were.</div>  
"<h2>deft</h2><a href=""https://www.membean.com/mywords/deft"">membean</a> <a href=""https://www.vocabulary.com/dictionary/deft"">vocabulary</a>"^skillful in physical movements; especially of the hands <br><br> <div class="example">And when old Fezziwig and Mrs. Fezziwig had gone all through the dance; advance and retire, both hands to your partner, bow and curtsey, corkscrew, thread-the-needle, and back again to your place; Fezziwig 'cut'-cut so deftly, that he appeared to wink with his legs, and came upon his feet again without a stagger.</div>  
"<h2>corroborate</h2><a href=""https://www.membean.com/mywords/corroborate"">membean</a> <a href=""https://www.vocabulary.com/dictionary/corroborate"">vocabulary</a>"^support with evidence or authority or make more certain <br><br> <div class="example">He  <strong>corroborated</strong> everything, remembered everything, enjoyed everything, and underwent the strangest agitation.</div>  
"<h2>render</h2><a href=""https://www.vocabulary.com/dictionary/render"">vocabulary</a>"^cause to become <br><br> <div class="example">He has the power to  <strong>render</strong> us happy or unhappy; to make our service light or burdensome; a pleasure or a toil.</div>  
"<h2>avarice</h2><a href=""https://www.membean.com/mywords/avarice"">membean</a> <a href=""https://www.vocabulary.com/dictionary/avarice"">vocabulary</a>"^reprehensible acquisitiveness; insatiable desire for wealth <br><br> <div class="example">His face had not the harsh and rigid lines of later years; but it had begun to wear the signs of care and  <strong>avarice</strong>.</div>  
"<h2>displace</h2><a href=""https://www.vocabulary.com/dictionary/displace"">vocabulary</a>"^cause to move, usually with force or pressure <br><br> <div class="example">Another idol has  <strong>displaced</strong> me; and if it can cheer and comfort you in time to come, as I would have tried to do, I have no just cause to grieve.</div>  
"<h2>relentless</h2><a href=""https://www.vocabulary.com/dictionary/relentless"">vocabulary</a>"^not willing or able to stop or yield <br><br> <div class="example">But the  <strong>relentless</strong> Ghost pinioned him in both his arms, and forced him to observe what happened next.</div>  
"<h2>comely</h2><a href=""https://www.membean.com/mywords/comely"">membean</a> <a href=""https://www.vocabulary.com/dictionary/comely"">vocabulary</a>"^very pleasing to the eye <br><br> <div class="example">Near to the winter fire sat a beautiful young girl, so like that last that Scrooge believed it was the same, until he saw her, now a  <strong>comely</strong> matron, sitting opposite her daughter.</div>  
"<h2>subside</h2><a href=""https://www.membean.com/mywords/subside"">membean</a> <a href=""https://www.vocabulary.com/dictionary/subside"">vocabulary</a>"^descend into or as if into some soft substance or place <br><br> <div class="example">It is enough that by degrees the children and their emotions got out of the parlor, and by one stair at a time, up to the top of the house; where they went to bed, and so  <strong>subsided</strong>.</div>  
"<h2>intervention</h2><a href=""https://www.vocabulary.com/dictionary/intervention"">vocabulary</a>"^care provided to improve a situation <br><br> <div class="example">He felt that he was restored to consciousness in the right nick of time, for the especial purpose of holding a conference with the second messenger dispatched to him through Jacob Marley's  <strong>intervention</strong>.</div>  
"<h2>comprehensive</h2><a href=""https://www.vocabulary.com/dictionary/comprehensive"">vocabulary</a>"^including all or everything <br><br> <div class="example">Gentlemen of the free-and-easy sort, who plume themselves on being acquainted with a move or two, and being usually equal to the time-of-day, express the wide range of their capacity for adventure by observing that they are good for anything from pitch-and-toss to manslaughter; between which opposite extremes, no doubt, there lies a tolerably wide and  <strong>comprehensive</strong> range of subjects.</div>  
"<h2>apprehensive</h2><a href=""https://www.membean.com/mywords/apprehensive"">membean</a> <a href=""https://www.vocabulary.com/dictionary/apprehensive"">vocabulary</a>"^in fear or dread of possible evil or harm <br><br> <div class="example">All this time, he lay upon his bed, the very core and centre of a blaze of ruddy light, which streamed upon it when the clock proclaimed the hour; and which, being only light, was more alarming than a dozen ghosts, as he was powerless to make out what it meant, or would be at; and was sometimes  <strong>apprehensive</strong> that he might be at that very moment an interesting case of spontaneous combustion, without having the consolation of knowing it.</div>  
"<h2>seething</h2><a href=""https://www.vocabulary.com/dictionary/seething"">vocabulary</a>"^in constant agitation <br><br> <div class="example">Heaped up on the floor, to form a kind of throne, were turkeys, geese, game, poultry, brawn, great joints of meat, sucking-pigs, long wreaths of sausages, mince-pies, plum-puddings, barrels of oysters, red-hot chestnuts, cherry-cheeked apples, juicy oranges, luscious pears, immense twelfth-cakes, and  <strong>seething</strong> bowls of punch, that made the chamber dim with their delicious steam.</div>  
"<h2>dogged</h2><a href=""https://www.vocabulary.com/dictionary/dogged"">vocabulary</a>"^stubbornly unyielding <br><br> <div class="example">He was not the  <strong>dogged</strong> Scrooge he had been; and though the Spirit's eyes were clear and kind, he did not like to meet them.</div>  
"<h2>disdain</h2><a href=""https://www.membean.com/mywords/disdain"">membean</a> <a href=""https://www.vocabulary.com/dictionary/disdain"">vocabulary</a>"^reject with contempt <br><br> <div class="example">This garment hung so loosely on the figure, that its capacious breast was bare, as if  <strong>disdaining</strong> to be warded or concealed by any artifice.</div>  
"<h2>genial</h2><a href=""https://www.vocabulary.com/dictionary/genial"">vocabulary</a>"^diffusing warmth and friendliness <br><br> <div class="example">Its dark brown curls were long and free; free as its  <strong>genial</strong> face, its sparkling eye, its open hand, its cheery voice, its unconstrained demeanour, and its joyful air.</div>  
"<h2>opulence</h2><a href=""https://www.vocabulary.com/dictionary/opulence"">vocabulary</a>"^wealth as evidenced by sumptuous living <br><br> <div class="example">There were great, round, pot-bellied baskets of chestnuts, shaped like the waistcoats of jolly old gentlemen, lolling at the doors, and tumbling out into the street in their apoplectic  <strong>opulence</strong>.</div>  
"<h2>deprive</h2><a href=""https://www.vocabulary.com/dictionary/deprive"">vocabulary</a>"^take away <br><br> <div class="example">'You would  <strong>deprive</strong> them of their means of dining every seventh day, often the only day on which they can be said to dine at all,' said Scrooge.</div>  
"<h2>bigotry</h2><a href=""https://www.membean.com/mywords/bigotry"">membean</a> <a href=""https://www.vocabulary.com/dictionary/bigotry"">vocabulary</a>"^intolerance and prejudice <br><br> <div class="example">'There are some upon this earth of yours,' returned the Spirit, 'who lay claim to know us, and who do their deeds of passion, pride, ill-will, hatred, envy,  <strong>bigotry</strong>, and selfishness in our name, who are as strange to us and all our kith and kin, as if they had never lived.</div>  
"<h2>exalt</h2><a href=""https://www.membean.com/mywords/exalt"">membean</a> <a href=""https://www.vocabulary.com/dictionary/exalt"">vocabulary</a>"^praise, glorify, or honor <br><br> <div class="example">And now two smaller Cratchits, boy and girl, came tearing in, screaming that outside the baker's they had smelt the goose, and known it for their own; and basking in luxurious thoughts of sage and onion, these young Cratchits danced about the table, and  <strong>exalted</strong> Master Peter Cratchit to the skies, while he (not proud, although his collars nearly choked him) blew the fire, until the slow potatoes bubbling up, knocked loudly at the saucepan-lid to be let out and peeled.</div>  
"<h2>officious</h2><a href=""https://www.membean.com/mywords/officious"">membean</a> <a href=""https://www.vocabulary.com/dictionary/officious"">vocabulary</a>"^intrusive in a meddling or offensive manner <br><br> <div class="example">'Why, bless your heart alive, my dear, how late you are,' said Mrs Cratchit, kissing her a dozen times, and taking off her shawl and bonnet for her with  <strong>officious</strong> zeal.</div>  
"<h2>threadbare</h2><a href=""https://www.vocabulary.com/dictionary/threadbare"">vocabulary</a>"^thin and tattered with age <br><br> <div class="example">So Martha hid herself, and in came little Bob, the father, with at least three feet of comforter exclusive of the fringe, hanging down before him; and his  <strong>threadbare</strong> clothes darned up and brushed, to look seasonable; and Tiny Tim upon his shoulder.</div>  
"<h2>tremulous</h2><a href=""https://www.membean.com/mywords/tremulous"">membean</a> <a href=""https://www.vocabulary.com/dictionary/tremulous"">vocabulary</a>"^quivering as from weakness or fear <br><br> <div class="example">Bob's voice was  <strong>tremulous</strong> when he told them this, and trembled more when he said that Tiny Tim was growing strong and hearty.</div>  
"<h2>vigor</h2><a href=""https://www.vocabulary.com/dictionary/vigor"">vocabulary</a>"^forceful exertion <br><br> <div class="example">Mrs Cratchit made the gravy (ready beforehand in a little saucepan) hissing hot; Master Peter mashed the potatoes with incredible  <strong>vigor</strong>; Miss Belinda sweetened up the apple-sauce; Martha dusted the hot plates; Bob took Tiny Tim beside him in a tiny corner at the table; the two young Cratchits set chairs for everybody, not forgetting themselves, and mounting guard upon their posts, crammed spoons into their mouths, lest they should shriek for goose before their turn came to be helped.</div>  
"<h2>livid</h2><a href=""https://www.membean.com/mywords/livid"">membean</a> <a href=""https://www.vocabulary.com/dictionary/livid"">vocabulary</a>"^furiously angry <br><br> <div class="example">Suppose somebody should have got over the wall of the back-yard, and stolen it, while they were merry with the goose -- a supposition at which the two young Cratchits became  <strong>livid</strong>!</div>  
"<h2>penitence</h2><a href=""https://www.vocabulary.com/dictionary/penitence"">vocabulary</a>"^remorse for your past conduct <br><br> <div class="example">Scrooge hung his head to hear his own words quoted by the Spirit, and was overcome with  <strong>penitence</strong> and grief.</div>  
"<h2>rebuke</h2><a href=""https://www.membean.com/mywords/rebuke"">membean</a> <a href=""https://www.vocabulary.com/dictionary/rebuke"">vocabulary</a>"^an act or expression of criticism and censure <br><br> <div class="example">Scrooge bent before the Ghost's  <strong>rebuke</strong>, and trembling cast his eyes upon the ground.</div>  
"<h2>odious</h2><a href=""https://www.membean.com/mywords/odious"">membean</a> <a href=""https://www.vocabulary.com/dictionary/odious"">vocabulary</a>"^unequivocally detestable <br><br> <div class="example">'It should be Christmas Day, I am sure,' said she, 'on which one drinks the health of such an  <strong>odious</strong>, stingy, hard, unfeeling man as Mr Scrooge.</div>  
"<h2>dispel</h2><a href=""https://www.membean.com/mywords/dispel"">membean</a> <a href=""https://www.vocabulary.com/dictionary/dispel"">vocabulary</a>"^force to go away <br><br> <div class="example">The mention of his name cast a dark shadow on the party, which was not  <strong>dispelled</strong> for full five minutes.</div>  
"<h2>baleful</h2><a href=""https://www.membean.com/mywords/baleful"">membean</a> <a href=""https://www.vocabulary.com/dictionary/baleful"">vocabulary</a>"^threatening or foreshadowing evil or tragic developments <br><br> <div class="example">After it had passed away, they were ten times merrier than before, from the mere relief of Scrooge the  <strong>Baleful</strong> being done with.</div>  
"<h2>deliberate</h2><a href=""https://www.membean.com/mywords/deliberate"">membean</a> <a href=""https://www.vocabulary.com/dictionary/deliberate"">vocabulary</a>"^think about carefully; weigh <br><br> <div class="example">The two young Cratchits laughed tremendously at the idea of Peter's being a man of business; and Peter himself looked thoughtfully at the fire from between his collars, as if he were  <strong>deliberating</strong> what particular investments he should favour when he came into the receipt of that bewildering income.</div>  
"<h2>plaintive</h2><a href=""https://www.membean.com/mywords/plaintive"">membean</a> <a href=""https://www.vocabulary.com/dictionary/plaintive"">vocabulary</a>"^expressing sorrow <br><br> <div class="example">All this time the chestnuts and the jug went round and round; and by-and-bye they had a song, about a lost child travelling in the snow, from Tiny Tim, who had a  <strong>plaintive</strong> little voice, and sang it very well indeed.</div>  
"<h2>mirth</h2><a href=""https://www.vocabulary.com/dictionary/mirth"">vocabulary</a>"^great merriment <br><br> <div class="example">How it bared its breadth of breast, and opened its capacious palm, and floated on, outpouring, with a generous hand, its bright and harmless  <strong>mirth</strong> on everything within its reach!</div>  
"<h2>bleak</h2><a href=""https://www.vocabulary.com/dictionary/bleak"">vocabulary</a>"^providing no shelter or sustenance <br><br> <div class="example">And now, without a word of warning from the Ghost, they stood upon a  <strong>bleak</strong> and desert moor, where monstrous masses of rude stone were cast about, as though it were the burial-place of giants; and water spread itself wheresoever it listed, or would have done so, but for the frost that held it prisoner; and nothing grew but moss and furze, and coarse rank grass.</div>  
"<h2>blithe</h2><a href=""https://www.membean.com/mywords/blithe"">membean</a> <a href=""https://www.vocabulary.com/dictionary/blithe"">vocabulary</a>"^carefree and happy and lighthearted <br><br> <div class="example">So surely as they raised their voices, the old man got quite  <strong>blithe</strong> and loud; and so surely as they stopped, his vigor sank again.</div>  
"<h2>undermine</h2><a href=""https://www.membean.com/mywords/undermine"">membean</a> <a href=""https://www.vocabulary.com/dictionary/undermine"">vocabulary</a>"^dig beneath <br><br> <div class="example">To Scrooge's horror, looking back, he saw the last of the land, a frightful range of rocks, behind them; and his ears were deafened by the thundering of water, as it rolled and roared, and raged among the dreadful caverns it had worn, and fiercely tried to  <strong>undermine</strong> the earth.</div>  
"<h2>chafe</h2><a href=""https://www.vocabulary.com/dictionary/chafe"">vocabulary</a>"^tear or wear off the skin or make sore by abrading <br><br> <div class="example">Built upon a dismal reef of sunken rocks, some league or so from shore, on which the waters  <strong>chafed</strong> and dashed, the wild year through, there stood a solitary lighthouse.</div>  
"<h2>abyss</h2><a href=""https://www.vocabulary.com/dictionary/abyss"">vocabulary</a>"^a bottomless gulf or pit <br><br> <div class="example">It was a great surprise to Scrooge, while listening to the moaning of the wind, and thinking what a solemn thing it was to move on through the lonely darkness over an unknown  <strong>abyss</strong>, whose depths were secrets as profound as Death: it was a great surprise to Scrooge, while thus engaged, to hear a hearty laugh.</div>  
"<h2>affability</h2><a href=""https://www.vocabulary.com/dictionary/affability"">vocabulary</a>"^a disposition to be friendly and approachable <br><br> <div class="example">It was a much greater surprise to Scrooge to recognize it as his own nephew's and to find himself in a bright, dry, gleaming room, with the Spirit standing smiling by his side, and looking at that same nephew with approving  <strong>affability</strong>.</div>  
"<h2>contortion</h2><a href=""https://www.vocabulary.com/dictionary/contortion"">vocabulary</a>"^a tortuous and twisted shape or position <br><br> <div class="example">When Scrooge's nephew laughed in this way: holding his sides, rolling his head, and twisting his face into the most extravagant  <strong>contortions</strong>: Scrooge's niece, by marriage, laughed as heartily as he.</div>  
"<h2>consequence</h2><a href=""https://www.vocabulary.com/dictionary/consequence"">vocabulary</a>"^the outcome of an event <br><br> <div class="example">&#8220;I am sorry for him; I couldn&#8217;t be angry with him if I tried. Who suffers by his ill whims! Himself, always. Here, he takes it into his head to dislike us, and he won&#8217;t come and dine with us. What&#8217;s the  <strong>consequence</strong>? He don&#8217;t lose much of a dinner.&#8221;</div>  
"<h2>competent</h2><a href=""https://www.membean.com/mywords/competent"">membean</a> <a href=""https://www.vocabulary.com/dictionary/competent"">vocabulary</a>"^properly or sufficiently qualified, capable, or efficient <br><br> <div class="example">Everybody else said the same, and they must be allowed to have been  <strong>competent</strong> judges, because they had just had dinner; and, with the dessert upon the table, were clustered round the fire, by lamplight.</div>  
"<h2>revel</h2><a href=""https://www.vocabulary.com/dictionary/revel"">vocabulary</a>"^take delight in <br><br> <div class="example">Scrooge's nephew  <strong>reveled</strong> in another laugh, and as it was impossible to keep the infection off; though the plump sister tried hard to do it with aromatic vinegar; his example was unanimously followed.</div>  
"<h2>cultivate</h2><a href=""https://www.vocabulary.com/dictionary/cultivate"">vocabulary</a>"^foster the growth of <br><br> <div class="example">When this strain of music sounded, all the things that Ghost had shown him, came upon his mind; he softened more and more; and thought that if he could have listened to it often, years ago, he might have  <strong>cultivated</strong> the kindnesses of life for his own happiness with his own hands, without resorting to the sexton&#8217;s spade that buried Jacob Marley.</div>  
"<h2>affront</h2><a href=""https://www.membean.com/mywords/affront"">membean</a> <a href=""https://www.vocabulary.com/dictionary/affront"">vocabulary</a>"^a deliberately offensive act <br><br> <div class="example">If you had fallen up against him (as some of them did), on purpose, he would have made a feint of endeavoring to seize you, which would have been an  <strong>affront</strong> to your understanding, and would instantly have sidled off in the direction of the plump sister.</div>  
"<h2>execrable</h2><a href=""https://www.vocabulary.com/dictionary/execrable"">vocabulary</a>"^unequivocally detestable <br><br> <div class="example">But when at last, he caught her; when, in spite of all her silken rustlings, and her rapid flutterings past him, he got her into a corner whence there was no escape; then his conduct was the most  <strong>execrable</strong>.</div>  
"<h2>vile</h2><a href=""https://www.membean.com/mywords/vile"">membean</a> <a href=""https://www.vocabulary.com/dictionary/vile"">vocabulary</a>"^morally reprehensible <br><br> <div class="example">For his pretending not to know her; his pretending that it was necessary to touch her head-dress, and further to assure himself of her identity by pressing a certain ring upon her finger, and a certain chain about her neck; was  <strong>vile</strong>, monstrous!</div>  
"<h2>precept</h2><a href=""https://www.membean.com/mywords/precept"">membean</a> <a href=""https://www.vocabulary.com/dictionary/precept"">vocabulary</a>"^a rule of personal conduct <br><br> <div class="example">In almshouse, hospital, and jail, in misery's every refuge, where vain man in his little brief authority had not made fast the door, and barred the Spirit out, he left his blessing, and taught Scrooge his  <strong>precepts</strong>.</div>  
